Weather Temperature,Humidity,visibility,Air Pressure,Wind speed,Time
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 30m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 31m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 32m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 33m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 34m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 35m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 36m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 37m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 9  Km/h,Latest report 38m ago(21:30 Local time)
25°C,54%,>10000m,1016.0mb,Wind: 13  Km/h,Latest report 9m ago(22:00 Local time)
